Wind Speed,Enercon.E112.4500,Vestas.V136.3450
3.94,0.039262,0.058284
3.95,0.039623,0.058812
3.96,0.039986,0.059339
3.97,0.040351,0.059867
3.98,0.040718,0.060394
3.99,0.041087,0.060922
4,0.041458,0.061449
4.01,0.041831,0.062197
4.02,0.042206,0.062945
4.03,0.042583,0.063693
4.04,0.042963,0.064441
4.05,0.043667,0.065188
4.06,0.044052,0.065936
4.07,0.044439,0.066684
4.08,0.044829,0.067432
4.09,0.044889,0.06818
4.1,0.045281,0.068928
4.11,0.045676,0.069675
4.12,0.046407,0.070423
4.13,0.046807,0.071171
4.14,0.047209,0.071919
4.15,0.047612,0.072667
4.16,0.047676,0.073414
4.17,0.048082,0.074162
4.18,0.04849,0.07491
4.19,0.048901,0.075658
4.2,0.049664,0.076406
4.21,0.050081,0.077154
4.22,0.050146,0.077901
4.23,0.050565,0.078649
4.24,0.050986,0.079397
4.25,0.05141,0.080145
4.26,0.051836,0.080893
4.27,0.052263,0.081641
4.28,0.053058,0.082388
4.29,0.053492,0.083136
4.3,0.053559,0.083884
4.31,0.053995,0.084632
4.32,0.054434,0.08538
4.33,0.054874,0.086128
4.34,0.055317,0.086875
4.35,0.055762,0.087623
4.36,0.056209,0.088371
4.37,0.056659,0.089119
4.38,0.05711,0.089867
4.39,0.057563,0.090614
4.4,0.05802,0.091362
4.41,0.058478,0.09211
4.42,0.058938,0.092858
4.43,0.0594,0.093606
4.44,0.059865,0.094354
4.45,0.060332,0.095101
4.46,0.0612,0.095849
4.47,0.061673,0.096597
4.48,0.062149,0.097345
4.49,0.062626,0.098093
4.5,0.063106,0.098841
4.51,0.063179,0.099606
4.52,0.063662,0.100371
4.53,0.064559,0.101136
4.54,0.065048,0.101901
4.55,0.06554,0.102667
4.56,0.066033,0.103432
4.57,0.066108,0.104197
4.58,0.066604,0.104962
4.59,0.067102,0.105728
4.6,0.067602,0.106493
4.61,0.068105,0.107258
4.62,0.06904,0.108023
4.63,0.069549,0.108788
4.64,0.069626,0.109554
4.65,0.070137,0.110319
4.66,0.070652,0.111084
4.67,0.071168,0.111849
4.68,0.071686,0.112614
4.69,0.072207,0.11338
4.7,0.073176,0.114145
4.71,0.073255,0.11491
4.72,0.073783,0.115675
4.73,0.074312,0.116441
4.74,0.074844,0.117206
4.75,0.07538,0.117971
4.76,0.075916,0.118736
4.77,0.076454,0.119501
4.78,0.076996,0.120267
4.79,0.07754,0.121032
4.8,0.078086,0.121797
4.81,0.078634,0.122562
4.82,0.079185,0.123328
4.83,0.079738,0.124093
4.84,0.080293,0.124858
4.85,0.08085,0.125623
4.86,0.08141,0.126388
4.87,0.082453,0.127154
4.88,0.083019,0.127919
4.89,0.083588,0.128684
4.9,0.084159,0.129449
4.91,0.084733,0.130214
4.92,0.084819,0.13098
4.93,0.085395,0.131745
4.94,0.085973,0.13251
4.95,0.087051,0.133275
4.96,0.087636,0.134041
4.97,0.088224,0.134806
4.98,0.088814,0.135571
4.99,0.088901,0.136336
5,0.089494,0.137101
5.01,0.090089,0.138191
5.02,0.090687,0.139281
5.03,0.0918,0.140371
5.04,0.092404,0.141461
5.05,0.092493,0.142551
5.06,0.0931,0.143641
5.07,0.093709,0.14473
5.08,0.09432,0.14582
5.09,0.094935,0.14691
5.1,0.095551,0.148
5.11,0.09617,0.14909
5.12,0.096792,0.15018
5.13,0.097415,0.15127
5.14,0.098041,0.152359
5.15,0.098669,0.153449
5.16,0.099301,0.154539
5.17,0.099934,0.155629
5.18,0.100569,0.156719
5.19,0.101207,0.157809
5.2,0.101847,0.158899
5.21,0.102491,0.159988
5.22,0.103136,0.161078
5.23,0.103784,0.162168
5.24,0.104434,0.163258
5.25,0.105087,0.164348
5.26,0.105741,0.165438
5.27,0.106399,0.166528
5.28,0.107058,0.167617
5.29,0.107721,0.168707
5.3,0.108956,0.169797
5.31,0.109625,0.170887
5.32,0.110297,0.171977
5.33,0.110394,0.173067
5.34,0.111068,0.174157
5.35,0.111744,0.175246
5.36,0.112425,0.176336
5.37,0.113692,0.177426
5.38,0.114378,0.178516
